"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"id","integer",978,0,978,489.5,489.5,489.5,NA,282.468582323769,NA,1,978,977,0,0,-1.20368160376654,-3.85168262771527,NA,NA
"scl_A","numeric",978,0,152,0.179126908012437,0.121799307958463,0.121799307958463,NA,0.19100172164307,NA,0,0.902522073137516,0.902522073137516,1.18793572263164,7.59488794375424,0.974566633113757,3.11853347145053,NA,NA
"scl_B","numeric",978,0,167,0.188127085165863,0.121799307958463,0.121799307958463,NA,0.210913266298952,NA,0,0.957440000000012,0.957440000000012,1.23071230910507,7.86837360016859,0.918774538665011,2.94000333500943,NA,NA
"scl_C","numeric",978,0,226,0.174434839137878,0.110897972408263,0.110897972408263,NA,0.218731531129698,NA,0,0.937618147448029,0.937618147448029,1.35868538998002,8.6865501989067,1.04081199980001,3.33051322359896,NA,NA
"scl_D","numeric",978,0,375,0.207856123297526,0.121799307958463,0.121799307958463,NA,0.234160576097117,NA,0,1,1,1.218664874515,7.79135014344608,0.673294061995087,2.15448589877535,NA,NA
"scl_E","numeric",978,0,382,0.228070561830618,0.128485142968232,0.128485142968232,NA,0.239110624035531,NA,0,0.997866801041406,0.997866801041406,1.01492332685695,6.48875927554794,0.163068702064741,0.521806501737196,NA,NA
"scl_G","numeric",978,0,339,0.215351120552993,0.121799307958463,0.121799307958463,NA,0.237410105282508,NA,0,0.990814814814803,0.990814814814803,1.26480936604112,8.08636799305326,0.90255804700488,2.8881118887878,NA,NA
