"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"SCL_C_26","numeric",742,0.241308793456033,5,1.09164420485175,1,1,NA,0.340215447476836,NA,1,4,3,4.37551688442476,24.3781693509169,22.8289217402854,63.6804521714962,NA,NA
"SCL_D_26","numeric",563,0.424335378323108,5,1.13321492007105,1,1,NA,0.432259809252659,NA,1,5,4,4.39178583631028,21.3276191019322,26.1634988004236,63.6396114000987,NA,NA
"SCL_E_26","numeric",557,0.430470347648262,5,1.14542190305206,1,1,NA,0.430870012139532,NA,1,4,3,3.19282110856059,15.4227413886137,10.486556158665,25.3722175478666,NA,NA
"SCL_G_26","numeric",602,0.384458077709611,6,1.20764119601329,1,1,NA,0.533479537379421,NA,1,5,4,3.03129625184803,15.2194601772749,10.6486669555144,26.7761405798128,NA,NA
"SCL_A_29","numeric",843,0.138036809815951,6,1.11150652431791,1,1,NA,0.404133022234599,NA,1,5,4,4.93925442643161,29.3251570427685,31.8219697503648,94.5771693866482,NA,NA
"SCL_B_29","numeric",820,0.161554192229039,5,1.14024390243902,1,1,NA,0.43485496609544,NA,1,4,3,3.55304629497882,20.8062837181628,13.9842055346972,40.9945313529828,NA,NA
"SCL_C_29","numeric",743,0.240286298568507,5,1.14804845222073,1,1,NA,0.458102658982393,NA,1,4,3,3.64596209456635,20.3270873906737,14.8760541198955,41.5239823261033,NA,NA
"SCL_D_29","numeric",563,0.424335378323108,6,1.19005328596803,1,1,NA,0.551065448770063,NA,1,5,4,3.75556887094745,18.2379891406394,16.9600461121956,41.2533030135254,NA,NA
"SCL_E_29","numeric",555,0.432515337423313,6,1.23243243243243,1,1,NA,0.574764456882728,NA,1,5,4,3.0784847381267,14.8438675660848,11.3709453404711,27.4629961858704,NA,NA
"SCL_G_29","numeric",602,0.384458077709611,6,1.23089700996678,1,1,NA,0.589572895430231,NA,1,5,4,3.10353469941913,15.582153257968,11.007439959751,27.6782775738436,NA,NA
"SCL_A_30","numeric",842,0.139059304703476,5,1.05700712589074,1,1,NA,0.282808359706972,NA,1,4,3,6.3186302059661,37.4925569304516,49.214807404409,146.183654545492,NA,NA
"SCL_B_30","numeric",822,0.159509202453988,5,1.09124087591241,1,1,NA,0.356182449084758,NA,1,4,3,4.46546569618868,26.1810745506481,22.1854899943199,65.1152854600595,NA,NA
"SCL_C_30","numeric",743,0.240286298568507,5,1.14266487213997,1,1,NA,0.441874107818728,NA,1,4,3,3.55416349019576,19.8152888022672,13.9450555199837,38.9252576174682,NA,NA
"SCL_D_30","numeric",563,0.424335378323108,6,1.1740674955595,1,1,NA,0.53180245682724,NA,1,5,4,3.82672481432092,18.583540338642,17.09679558819,41.5859299139959,NA,NA
"SCL_E_30","numeric",555,0.432515337423313,6,1.17657657657658,1,1,NA,0.528425724564731,NA,1,5,4,3.74878195219941,18.0759131735825,16.6349518175954,40.1765732434551,NA,NA
"SCL_G_30","numeric",601,0.385480572597137,6,1.1846921797005,1,1,NA,0.563470153088941,NA,1,5,4,3.69851562106662,18.5540661833095,15.1818734959915,38.1434568880371,NA,NA
"SCL_A_31","numeric",843,0.138036809815951,6,1.3926453143535,1,1,NA,0.654814438501883,NA,1,5,4,1.76894629935904,10.5025219497359,3.24177058289753,9.634773960774,NA,NA
